METODO , TAMANHO , EXECUCAO(s) , TROCA , COMPARACAO , VARREDURA 
,,,,,
BUBBLE ,100, 0.000000 ,2609,4950,99
SELECTION ,100, 0.001000 ,94,4950,100
MERGE ,100, 0.000000 ,672,544,99
QUICK ,100, 0.000000 ,109,649,0
,,,,,
BUBBLE ,10000, 0.884000 ,25341218,49995000,9999
SELECTION ,10000, 0.159000 ,9993,49995000,10000
MERGE ,10000, 0.015000 ,133616,120428,9999
QUICK ,10000, 0.015000 ,9214,3717901,0
,,,,,
BUBBLE ,15000, 1.284000 ,56545312,112492500,14999
SELECTION ,15000, 0.375000 ,14994,112492500,15000
MERGE ,15000, 0.015000 ,208616,189310,14999
QUICK ,15000, 0.015000 ,13850,8345226,0
,,,,,
BUBBLE ,100000, 86.275002 ,-1788922785,678642359,99771
SELECTION ,100000, 16.790001 ,99981,704982704,100000
MERGE ,100000, 0.062000 ,1668928,1536134,99999
QUICK ,100000, 0.031000 ,318978,2300627,0
,,,,,
BUBBLE ,1000000, 7303.703125 ,1014916430,1783293664,999999
SELECTION ,1000000, 1757.917969 ,999952,1783293664,1000000
MERGE ,1000000, 0.658000 ,19951424,18673530,999999
,,,,,
MERGE ,10000000, 6.929000 ,233222784,220098078,9999999
,,,,,
BUBBLE ,100, 0.000000 ,2609,4950,99
SELECTION ,100, 0.000000 ,94,4950,100
MERGE ,100, 0.000000 ,672,544,99
QUICK ,100, 0.000000 ,77,2964,0
BUBBLE ,1000, 0.000000 ,253384,499500,999
SELECTION ,1000, 0.006000 ,995,499500,1000
MERGE ,1000, 0.000000 ,9976,8715,999
BUBBLE ,10000, 0.547000 ,25341218,49995000,9999
SELECTION ,10000, 0.171000 ,9993,49995000,10000
MERGE ,10000, 0.015000 ,133616,120428,9999
QUICK ,10000, 0.015000 ,9214,3717901,0
BUBBLE ,100000, 64.014999 ,-1788922785,704982704,99999
SELECTION ,100000, 16.586000 ,99981,704982704,100000
MERGE ,100000, 0.062000 ,1668928,1536134,99999
QUICK ,100, 0.000000 ,109,649,0
QUICK ,10, 0.001000 ,4,30,0
QUICK ,10, 0.002000 ,2,75,0
QUICK ,10, 0.000000 ,8,97,0
QUICK ,10, 0.000000 ,4,30,0
QUICK ,100000, 0.026000 ,318978,2300627,0
QUICK ,1000, 0.000000 ,1640,13322,0
BUBBLE ,1000, 0.008000 ,253384,499500,999
SELECTION ,1000, 0.000000 ,995,499500,1000
SELECTION ,1000, 0.002000 ,995,499500,1000
SELECTION ,1000, 0.003000 ,995,499500,1000
SELECTION ,1000, 0.003000 ,995,499500,1000
SELECTION ,1000, 0.001000 ,995,499500,1000
SELECTION ,1000, 0.003000 ,995,499500,1000
SELECTION ,1000, 0.005000 ,995,499500,1000
BUBBLE ,1000, 0.018000 ,253384,499500,999
BUBBLE ,1000, 0.008000 ,253384,499500,999
BUBBLE ,1000, 0.008000 ,253384,499500,999
